test_collection,file_path,should_fail,known_status,known_failure,known_failure_description
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsAddReplaceRemoveModelElementChanges/2.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithMultipleSubTasks/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorProducesMultiplePlots/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorProducesMultiplePlots/2.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithChanges/1.execute-should-fail.omex,TRUE,SKIP,SEDML_SBML_LEVEL_CHANGE,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithChanges/2.execution-should-succeed.omex,,SKIP,SEDML_SBML_LEVEL_CHANGE,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsDataGeneratorsWithDifferentShapes/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithFunctionalRanges/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsDataSetsWithDifferentShapes/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithVectorRanges/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsComputeModelChanges/1.execute-should-fail.omex,TRUE,SKIP,SEDML_SBML_LEVEL_CHANGE,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsComputeModelChanges/2.execution-should-succeed.omex,,SKIP,SEDML_SBML_LEVEL_CHANGE,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsMultipleReportsPerSedDocument/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorProducesLogarithmic2DPlots/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorProducesLogarithmic2DPlots/2.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorCanResolveModelSourcesDefinedByUriFragmentsAndInheritChanges/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsModelsSimulationsTasksDataGeneratorsAndReports/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsModelAttributeChanges/1.execute-should-fail.omex,TRUE,FAIL,SEDML_ERRONEOUS_UNIT_SYSTEM,
